Date,MMM_p,MMM_r,AXP_p,AXP_r,AAPL_p,AAPL_r,BA_p,BA_r,CAT_p,CAT_r,CVX_p,CVX_r,CSCO_p,CSCO_r,KO_p,KO_r,DWDP_p,DWDP_r,XOM_p,XOM_r,GE_p,GE_r,GS_p,GS_r,HD_p,HD_r,IBM_p,IBM_r,INTC_p,INTC_r,JNJ_p,JNJ_r,JPM_p,JPM_r,MCD_p,MCD_r,MRK_p,MRK_r,MSFT_p,MSFT_r,NKE_p,NKE_r,PFE_p,PFE_r,PG_p,PG_r,TRV_p,TRV_r,UNH_p,UNH_r,UTX_p,UTX_r,VZ_p,VZ_r,V_p,V_r,WMT_p,WMT_r,DIS_p,DIS_r
1/16/2014,125.062027,-0.002024288,82.604126,-0.005340339,68.121658,-0.005595804,125.126694,-0.002919953,80.687378,0.002176089,101.066521,-0.002940939,19.990677,0,34.96294,-0.001258198,40.566299,0.000928566,85.67659,0.001618519,23.821295,-0.005133707,165.943375,-0.020231163,74.628265,0.002340887,163.875107,0.005418335,23.351561,-0.004886259,84.77523,-0.001689149,53.188683,-0.008440294,84.891838,0.006265595,46.336525,-0.000380923,33.278549,0.003530507,35.4487,-0.008520554,26.765013,-0.00032089,70.45536,-0.002850818,79.619514,-0.00730955,68.198914,-0.028185868,103.890511,0.00131414,40.397812,0.005371896,52.250446,-0.008933167,69.018181,-0.011656735,70.227577,-0.00094276
1/17/2014,124.292603,-0.006171343,85.606049,0.035696316,66.452576,-0.024806645,125.3498,0.001781453,80.187515,-0.006214327,101.457748,0.003863512,19.955574,-0.001757512,34.584332,-0.010887896,40.547474,-0.000464163,85.867104,0.002221173,23.278311,-0.02305786,166.994888,0.006316585,74.389481,-0.003204775,165.02977,0.007021287,22.744457,-0.026342367,85.151451,0.004428046,52.395222,-0.015030244,83.893242,-0.01183289,45.851105,-0.010531228,32.818474,-0.013921427,34.78513,-0.018896584,26.696323,-0.002569709,69.860657,-0.008476674,78.916763,-0.008865549,67.973953,-0.003304053,103.881409,-8.76153E-05,40.247971,-0.003716032,54.70311,0.045872137,68.505676,-0.007453359,70.009918,-0.003104151
1/21/2014,124.002975,-0.00233293,85.248451,-0.004186001,67.484993,0.015416697,126.429626,0.008577608,79.450882,-0.009228835,102.367805,0.008929823,20.03455,0.00394978,35.147823,0.016161935,43.239975,0.064291929,85.295578,-0.006678186,23.02433,-0.010970586,164.077103,-0.017626744,73.893539,-0.006689152,163.588638,-0.00877091,22.51569,-0.010109068,84.228821,-0.010894293,52.449318,0.001031928,84.025787,0.001578678,45.745178,-0.002312911,32.629028,-0.005789267,34.955753,0.004893065,26.816532,0.004492722,70.123024,0.003748541,77.575188,-0.01714603,68.573845,0.008786606,104.590874,0.006806351,39.706894,-0.013534768,54.644207,-0.001077356,68.190971,-0.004604437,70.218109,0.002969323
1/22/2014,123.541267,-0.003730311,85.756622,0.005943362,67.784874,0.004433825,128.839172,0.018879061,78.609024,-0.010652492,102.42733,0.000581313,20.043327,0.000437997,35.130211,-0.000501209,43.004616,-0.005457956,84.758675,-0.006314512,22.761597,-0.011476709,164.53183,0.002767589,73.654762,-0.003236597,158.223358,-0.033347279,22.269321,-0.011002408,84.488602,0.003079483,51.926373,-0.010020521,83.849037,-0.002105736,45.321533,-0.009304126,32.412529,-0.006657276,34.837257,-0.003395644,26.850882,0.001280107,69.816376,-0.00438259,77.173607,-0.005190113,68.798782,0.003274847,105.618683,0.009778977,39.398899,-0.007786953,54.893959,0.004560099,67.750381,-0.006482083,71.268539,0.014848741
1/23/2014,121.939087,-0.013053613,83.912178,-0.021742556,68.358871,0.00843227,126.108368,-0.021423297,77.591774,-0.013025086,100.692276,-0.017084478,19.797613,-0.012334906,34.54911,-0.016679682,42.100842,-0.021239718,83.970673,-0.009340494,22.612713,-0.006562504,161.756165,-0.017014,73.691505,0.00049873,158.64006,0.002630169,22.110952,-0.00713694,83.073296,-0.016893335,50.916508,-0.019639618,84.237892,0.00462684,45.542183,0.004856734,32.529808,0.003611793,34.472301,-0.010531286,26.627623,-0.008349534,68.943993,-0.012574116,75.813759,-0.017777727,68.61132,-0.002728506,104.454422,-0.011084455,39.84008,0.011135569,53.777184,-0.020554018,67.399734,-0.005189012,70.776459,-0.006928536
1/24/2014,117.874733,-0.033899157,81.82309,-0.025211274,67.116287,-0.018344601,121.949684,-0.033533067,75.566017,-0.026454745,98.906219,-0.017896975,19.481697,-0.016085965,34.196941,-0.010245594,40.867561,-0.029731122,82.134865,-0.022105016,21.850782,-0.03427556,158.809998,-0.01838154,72.699654,-0.013550903,155.957458,-0.017054597,21.829391,-0.012815779,81.165306,-0.023235413,49.672218,-0.02474141,83.45137,-0.009380777,45.877583,0.007337615,33.206383,0.020585278,33.960411,-0.014960668,25.837641,-0.030116753,69.772293,0.011942503,74.481293,-0.0177318,67.111618,-0.022100362,101.689362,-0.026828127,39.648628,-0.004817096,52.127937,-0.031148264,66.914185,-0.007230094,68.817528,-0.028067965
1/27/2014,116.7342,-0.00972292,80.665611,-0.014247127,67.660759,0.008079639,122.58329,0.005182184,80.055969,0.057719331,99.025291,0.001203164,19.306179,-0.009050209,34.10009,-0.002836172,40.575718,-0.00716681,82.195488,0.000737819,21.955877,0.004798138,156.015396,-0.017753812,72.497604,-0.002783112,154.446838,-0.009733318,21.750206,-0.003634044,80.565147,-0.007421753,49.672218,0,83.133209,-0.003819818,46.363007,0.010525268,32.502743,-0.021417631,34.078899,0.003482931,25.468409,-0.014393561,69.146667,-0.009007125,75.101906,0.008297945,67.158501,0.000698339,103.49939,0.017643023,39.69857,0.001258822,50.942829,-0.02299702,66.671417,-0.003634647,68.372765,-0.006483907
1/28/2014,117.503609,0.006569493,81.531364,0.01067543,62.252823,-0.083302497,122.342331,-0.00196761,81.090767,0.012843105,99.374001,0.003515238,19.086798,-0.011428308,34.223347,0.003608048,40.538063,-0.000928449,82.827621,0.007661183,22.29743,0.015436577,157.493195,0.009427556,72.130257,-0.005079904,153.535263,-0.005919679,21.908585,0.00725534,80.708466,0.00177734,50.258301,0.011729944,83.230423,0.001168693,46.663094,0.006451696,32.719246,0.006638982,34.462826,0.011202841,26.121004,0.02530092,69.710609,0.008122658,75.841148,0.009795057,67.214729,0.000836893,103.563057,0.000614955,39.423874,-0.006943595,52.059612,0.021685443,67.138962,0.006988201,68.968948,0.008681801
1/29/2014,117.901901,0.003383883,80.505638,-0.012660561,61.546085,-0.01141764,115.818718,-0.054796914,79.468422,-0.020209372,98.659576,-0.007215222,18.999041,-0.004608388,33.369308,-0.025271517,42.110252,0.038049867,82.360008,-0.005661613,22.148548,-0.006699484,155.266998,-0.014236048,70.422035,-0.023967398,153.144562,-0.002547942,21.71501,-0.008874843,79.633553,-0.013407953,50.068958,-0.003774512,82.320168,-0.01099681,46.080574,-0.012562101,33.07106,0.010695112,34.017284,-0.013012487,25.854816,-0.010242852,68.415283,-0.01875628,75.028893,-0.010767716,66.792938,-0.006295049,103.026413,-0.005195281,39.69857,0.006943595,51.154877,-0.017531612,66.626465,-0.00766266,67.502129,-0.021497236
1/30/2014,115.910469,-0.017034857,81.51255,0.012429777,61.426872,-0.00193885,112.91835,-0.025361202,81.730911,0.028072543,99.042297,0.003871703,19.28863,0.015127299,33.607025,0.007098567,42.656284,0.012883375,81.39016,-0.011845598,22.332462,0.008269374,157.104797,0.011766877,70.651649,0.003255238,153.978027,0.005427585,21.767801,0.002428133,80.171013,0.006726491,50.492725,0.008428051,82.8946,0.006953789,47.227947,0.024594342,33.251488,0.005440938,35.045818,0.029787543,26.464478,0.023306492,67.736771,-0.009967057,75.165794,0.001822981,68.236404,0.021380849,104.308907,0.012371364,39.648628,-0.001258822,52.040764,0.0171695,67.210899,0.008733551,69.290703,0.026151603
1/31/2014,116.037209,0.001092833,80.006866,-0.01864454,61.527653,0.001639322,111.784966,-0.010087912,82.353561,0.00758942,94.942802,-0.042272375,19.227201,-0.003189808,33.298866,-0.00921178,42.84457,0.004404314,79.805466,-0.019662383,22.008423,-0.014616071,155.475372,-0.01042574,70.578171,-0.001040545,153.38765,-0.003841533,21.591831,-0.008116811,79.248375,-0.011575108,49.915672,-0.011494245,83.221588,0.003936864,46.75135,-0.010142683,34.135548,0.026239787,34.529179,-0.014851556,26.103827,-0.013721449,67.516472,-0.003257581,74.180122,-0.013200044,67.749008,-0.007168388,103.708611,-0.005771607,39.973274,0.008154736,50.75671,-0.024983509,67.147972,-0.0009367,68.71344,-0.008365928
2/3/2014,112.153915,-0.034038738,77.974243,-0.025733902,61.641964,0.001856156,109.839478,-0.01755707,81.046898,-0.015993723,94.526077,-0.004398883,18.911282,-0.01656732,32.752983,-0.0165293,42.072594,-0.018182361,77.978317,-0.023161197,21.325312,-0.03153052,151.401917,-0.026549337,68.961815,-0.023167958,150.105988,-0.021626746,21.07271,-0.02433621,77.734535,-0.019287283,48.968929,-0.019149027,82.205292,-0.012287106,45.965843,-0.016944555,32.908684,-0.03660273,33.595448,-0.027414153,26.27557,0.006557678,66.705772,-0.012080112,73.249214,-0.012628699,66.305534,-0.021536455,100.19767,-0.034440215,38.633064,-0.034102591,50.29491,-0.009139947,65.331711,-0.027421183,66.234039,-0.036750298
2/4/2014,114.706558,0.022505029,79.047028,0.013664412,62.534275,0.014371934,108.911362,-0.00848565,81.117065,0.000865383,94.262398,-0.002793382,19.130674,0.01153434,32.999516,0.007498853,42.326778,0.006023381,77.952362,-0.000332904,21.517986,0.00899442,153.23967,0.012065164,68.851601,-0.001599467,150.053909,-0.000347008,20.958326,-0.005442849,77.591209,-0.00184549,49.54599,0.011715334,82.267136,0.000752029,47.227947,0.027087238,32.791409,-0.003570014,33.420078,-0.005233725,26.996853,0.027080694,67.049431,0.005138638,73.331352,0.001120722,66.089951,-0.003256655,99.233536,-0.009668913,38.974354,0.00879535,50.547012,0.004999955,65.394661,0.00096308,67.23716,0.015031556
2/5/2014,115.285881,0.005037768,78.783554,-0.003338697,63.001343,0.007441237,108.340218,-0.005257916,80.643517,-0.005854941,93.148224,-0.011890331,19.28863,0.008222788,33.113972,0.003462413,42.223225,-0.00244951,77.571342,-0.004899842,21.474194,-0.002037208,151.970276,-0.008318217,69.117943,0.003860886,151.269379,0.008067591,20.891712,-0.003183465,78.182411,0.007590564,49.780415,0.004720304,82.700188,0.005250167,47.245605,0.000373819,32.313293,-0.014687867,33.462723,0.001275216,26.537956,-0.017144294,67.366669,0.004720247,73.413506,0.001119685,66.380516,0.004386872,98.151161,-0.010967272,38.866146,-0.002780251,50.79911,0.004975001,65.520523,0.001922803,67.909058,0.009943357
2/6/2014,116.679871,0.012019074,80.637367,0.023257883,65.72921,0.04238738,109.473587,0.010406863,82.283409,0.020131079,94.636627,0.015852548,19.736183,0.022937848,33.483772,0.011105595,42.919884,0.01636479,78.312607,0.009510544,21.850782,0.017384775,153.230286,0.008256978,69.944496,0.011887649,152.473969,0.007931672,21.309187,0.019785769,79.499176,0.016701958,50.925522,0.022742579,83.902061,0.014428303,47.457428,0.004473423,32.638058,0.010000337,33.894054,0.012807528,26.702477,0.006180323,67.763199,0.00586889,73.64167,0.00310311,66.427376,0.000705681,99.551865,0.014170015,38.857822,-0.000214194,51.600178,0.015646287,65.475563,-0.000686433,71.505135,0.051599838
2/7/2014,117.974327,0.011032994,81.870132,0.015172083,66.648735,0.013892643,113.355621,0.03484666,83.195427,0.011022887,95.300026,0.006985505,19.894142,0.007971665,33.413326,-0.002106101,42.929295,0.000219245,78.992821,0.008648376,22.06097,0.009573273,153.400742,0.001111799,70.210808,0.003800246,154.72612,0.0146627,21.504604,0.009128757,80.654724,0.01443072,51.051758,0.002475768,84.768135,0.010269528,48.340034,0.018427022,32.980854,0.010448181,34.453342,0.016366402,27.031492,0.012246224,68.124481,0.005317375,73.815056,0.002351688,66.886665,0.006890359,100.716118,0.011627082,38.966034,0.002780949,52.252796,0.012568279,66.311768,0.012690389,71.609215,0.001454501
2/10/2014,117.404037,-0.004845739,83.131126,0.015284957,67.842758,0.017756578,113.480568,0.00110165,82.870949,-0.003907816,94.993851,-0.00321792,20.03455,0.007032967,33.959206,0.016205178,43.155247,0.005249549,78.068428,-0.011771251,21.938356,-0.005573463,152.51976,-0.005759565,70.174095,-0.000523033,154.630112,-0.000620695,21.575665,0.003299007,81.577347,0.011374236,51.159962,0.002117253,83.831352,-0.011112639,48.445942,0.0021885,33.197357,0.006543053,34.443863,-0.000275164,27.247952,0.007975806,68.758949,0.009270261,75.156654,0.018011934,65.368233,-0.022963213,101.507446,0.007826309,39.049274,0.002133941,51.963009,-0.005561301,66.320755,0.000135517,72.924629,0.018202662
2/11/2014,118.562691,0.009820565,83.356979,0.002713144,68.736641,0.01308976,116.157867,0.023318573,83.274353,0.004856048,96.601334,0.016780387,19.929247,-0.005269932,34.020847,0.001813503,44.096668,0.021580215,79.219559,0.014637501,22.27116,0.015056048,155.731171,0.020837096,70.440399,0.003787722,156.864807,0.014348442,21.735554,0.007383294,83.279305,0.020648466,51.782101,0.012087315,84.255554,0.005047424,49.160854,0.014649078,33.531136,0.010004176,35.064777,0.017866283,27.602943,0.012944035,69.47271,0.010327118,75.941536,0.010389126,66.193077,0.012539474,102.744446,0.012112643,39.299004,0.00637489,52.382385,0.008038271,67.255875,0.01400148,73.615456,0.009428575
2/12/2014,118.849716,0.002417946,83.771011,0.00495468,68.731522,-7.44754E-05,114.991165,-0.010094889,84.335442,0.012661589,96.129379,-0.004897569,20.052103,0.006145685,33.906384,-0.003370169,43.654198,-0.010084772,79.428864,0.002638603,22.236124,-0.001574394,154.888046,-0.005428686,70.973068,0.007533533,157.336197,0.003000566,21.806618,0.003264149,82.786652,-0.005933238,51.863255,0.001565994,83.85788,-0.004731029,48.54303,-0.012647035,33.801769,0.008038698,35.126392,0.001755634,27.369165,-0.008505383,68.283096,-0.017271774,75.074532,-0.011482401,65.836891,-0.005395546,103.119331,0.003642073,39.43219,0.003383313,53.198746,0.015464454,67.399734,0.002136696,73.729027,0.001541571
2/13/2014,118.576355,-0.002302705,83.658104,-0.001348714,69.822914,0.015754307,116.22065,0.01063524,84.282829,-0.000624049,96.54126,0.0042755,19.543121,-0.025710679,34.029652,0.003628947,43.588299,-0.001510709,79.734085,0.003835332,22.279915,0.001967426,155.418579,0.003419415,71.257767,0.004003343,158.732864,0.008837791,21.939852,0.006091207,82.912048,0.001513543,52.32309,0.008827222,84.361603,0.005988896,48.63129,0.00181653,33.928059,0.003729233,35.486614,0.010202798,27.447096,0.002843355,68.55629,0.00399292,75.640366,0.007508702,66.746078,0.013715204,103.594795,0.004600216,39.382252,-0.00126723,53.170269,-0.000535438,67.759377,0.005321785,73.719551,-0.000128533
2/14/2014,120.380424,0.015099829,83.752205,0.001124196,69.766502,-0.000808256,116.812996,0.005083792,84.668686,0.004567673,97.373589,0.008584532,19.797613,0.012938017,34.276176,0.007218273,43.974285,0.008816288,82.071251,0.028890624,22.542648,0.011723382,155.096466,-0.002074702,71.570023,0.004372489,160.347778,0.01012238,21.993145,0.002426105,83.091217,0.002158621,52.43129,0.002065785,84.644409,0.003346701,48.931381,0.006151778,33.937077,0.000265762,35.581406,0.002667643,27.654896,0.007542413,69.966164,0.020356594,76.680786,0.013661086,68.911263,0.031924094,104.115967,0.005018258,38.716305,-0.017054429,53.633041,0.008665928,68.146019,0.005689885,74.97818,0.016929096
2/18/2014,120.088882,-0.002424776,83.771011,0.000224518,70.022995,0.003669708,117.234787,0.003604319,84.677452,0.000103528,96.712868,-0.006808549,19.665983,-0.006670983,32.990711,-0.038224499,44.040184,0.001497459,82.036392,-0.000424831,22.463829,-0.003502566,155.977478,0.00566434,71.239403,-0.004630235,159.911301,-0.002725776,21.993145,0,82.562698,-0.006381024,52.737854,0.005829939,84.856499,0.002502525,49.152016,0.004498934,34.009785,0.002140144,35.647766,0.001863282,27.602943,-0.001880385,68.706062,-0.01817432,77.000198,0.004156825,69.201843,0.004207862,103.997108,-0.001142254,38.275124,-0.011460648,53.647282,0.000265491,67.732414,-0.006087887,75.309418,0.004408062
2/19/2014,118.959045,-0.009452878,83.601631,-0.002023987,68.917488,-0.015913725,115.224495,-0.017296295,84.370514,-0.003631376,97.476555,0.007865423,19.551899,-0.005817975,32.664944,-0.009923583,43.720097,-0.007294608,81.931709,-0.00127687,22.244883,-0.009794411,154.66069,-0.008478004,70.210808,-0.014543819,159.701797,-0.001310985,21.762201,-0.010556248,82.087952,-0.005766723,51.628815,-0.021253543,84.441147,-0.004906776,48.578342,-0.011740069,34.091591,0.002402478,35.462914,-0.005199006,27.256611,-0.0126263,68.855873,0.002178089,76.671677,-0.004275623,68.939392,-0.003799753,104.2714,0.002634024,38.732948,0.011890426,53.129921,-0.009690553,67.300827,-0.006392329,74.637505,-0.008962071
2/20/2014,119.870201,0.007630225,83.761635,0.001912057,68.119774,-0.011642425,116.274498,0.009071402,84.993141,0.007352579,98.334625,0.008764316,19.569447,0.000897106,32.84103,0.005376194,44.379105,0.014960869,83.170067,0.015001428,22.191877,-0.002385684,155.835373,0.007566528,71.156754,0.013382987,160.845322,0.007134863,21.975378,0.009748079,82.750824,0.008042714,51.917347,0.005573026,84.617882,0.002090809,49.257942,0.01389282,34.309715,0.006377795,35.823135,0.010106439,27.317213,0.002220919,68.662003,-0.002819563,76.489128,-0.002383757,68.873772,-0.000952304,105.194885,0.008817562,40.056515,0.033600725,53.030254,-0.001877673,66.104973,-0.017928546,74.940323,0.004048975
2/21/2014,119.879303,7.59292E-05,83.516945,-0.002925541,67.363083,-0.0111704,115.125763,-0.009928636,85.50177,0.005966518,96.687134,-0.01689586,19.420267,-0.007652312,32.735378,-0.003222259,44.209648,-0.003825705,82.873573,-0.003571282,22.032862,-0.007191255,155.835373,0,71.395538,0.003350128,159.562134,-0.008009769,21.691135,-0.013018993,82.570366,-0.002183121,51.944393,0.000520808,85.236504,0.007284177,49.45211,0.003934113,34.518757,0.006074307,36.249714,0.011837578,27.239292,-0.002856527,68.706062,0.000641474,76.470886,-0.00023852,69.183083,0.00448093,105.496605,0.002864095,39.348946,-0.017822143,53.006527,-0.000447524,65.745316,-0.00545555,75.829887,0.011800399
2/24/2014,120.453316,0.00477683,84.617966,0.013097063,67.658081,0.004369663,116.301422,0.010160164,85.343925,-0.001847808,97.948494,0.012961426,19.411493,-0.000451898,33.017124,0.008569947,44.20023,-0.000213053,84.10321,0.014728505,22.342062,0.013936024,157.76796,0.012325197,71.514938,0.001670977,160.13829,0.003604353,21.877668,0.008562739,82.200455,-0.004490014,52.32309,0.007263984,85.280708,0.00051847,49.584503,0.002673619,34.255188,-0.00766483,36.894325,0.017626254,27.698183,0.016706326,68.609131,-0.001411803,76.151443,-0.004186065,71.245178,0.029370772,106.511536,0.009574526,38.483227,-0.022246705,53.67812,0.012590413,65.95211,0.003140444,76.397682,0.007459853
2/25/2014,121.118454,0.005506767,84.608551,-0.000111271,66.953979,-0.010461298,113.779579,-0.021922227,84.545914,-0.009394521,98.6521,0.007157751,19.165775,-0.012739177,33.254845,0.007174135,44.454418,0.005734357,83.989838,-0.00134892,22.324394,-0.000791108,154.86911,-0.018545037,74.371109,0.039161196,159.946213,-0.001200164,21.868788,-0.000405976,82.200455,0,51.421432,-0.017382715,85.386742,0.00124258,49.346195,-0.004817685,34.118858,-0.003987776,37.022293,0.0034625,27.611603,-0.003130732,68.838249,0.003333904,76.060173,-0.001199252,70.598442,-0.009119063,105.962936,-0.005163926,38.533165,0.001296815,53.89645,0.004059143,65.95211,0,75.905586,-0.006462077
2/26/2014,121.054688,-0.000526615,84.439178,-0.002003849,66.34993,-0.009062797,113.627022,-0.001341711,85.238678,0.00816055,99.115463,0.004685944,19.244751,0.004112212,33.342888,0.002644025,45.028694,0.012835581,83.536354,-0.005413901,22.350893,0.001186294,154.745514,-0.000798386,75.032356,0.008851887,160.670761,0.004519718,22.028675,0.007284599,82.200455,0,51.168972,-0.004921718,84.741608,-0.007584122,49.663933,0.006418315,34.055233,-0.001866545,37.169228,0.00396097,27.698183,0.003130732,68.609131,-0.003333904,76.142326,0.001079522,71.292046,0.009776688,106.164093,0.001896572,38.583111,0.001295343,53.659142,-0.004412758,67.237892,0.019308085,75.78257,-0.00162196
